             channel                  pdfName                pdfNumber              totalEvents             SumOfWeights                runNumber           periodFraction                   nFiles
              301322                  nominal                       -1                   450000                 450000.0            348885-999999              1.00000e+00                        4
              301327                  nominal                       -1                   340000                 340000.0            348885-999999              1.00000e+00                        2
              301326                  nominal                       -1                   340000                 340000.0            348885-999999              1.00000e+00                        2
              301324                  nominal                       -1                   340000                 340000.0            348885-999999              1.00000e+00                       13
              301330                  nominal                       -1                   340000                 340000.0            348885-999999              1.00000e+00                        2
              301332                  nominal                       -1                   340000                 340000.0            348885-999999              1.00000e+00                        2
              301329                  nominal                       -1                   340000                 340000.0            348885-999999              1.00000e+00                        2
              301331                  nominal                       -1                   340000                 340000.0            348885-999999              1.00000e+00                        3
              301335                  nominal                       -1                   340000            340319.585938            348885-999999              1.00000e+00                        2
              301328                  nominal                       -1                   340000                 340000.0            348885-999999              1.00000e+00                        3
              301323                  nominal                       -1                   390000                 390000.0            348885-999999              1.00000e+00                        3
              301325                  nominal                       -1                   500000                 500000.0            348885-999999              1.00000e+00                        2
              301333                  nominal                       -1                   500000                 500000.0            348885-999999              1.00000e+00                        4
              301334                  nominal                       -1                   340000                 340000.0            348885-999999              1.00000e+00                        2
